事業所コード,事業所名,在庫区分,在庫区分名,倉庫コード,倉庫名,在庫場所コード,在庫場所名,会計年月,棚番,棚番名,資産分類,資産分類名,資産分類区分,資産分類区分名,品種,品種名,商品コード,商品名,規格,HUKLA品番,仕様,ピース,パーツ,木色,張地１,張地２,特注区分,内訳商品ランク,内訳商品ランク名,単位,個別原価使用フラグ,ロット番号,有効期限,基準日,残月数,前月末原価調整額,前月末評価単価,前月末在庫数,前月末移動積送数,前月末出荷積送数,前月末在庫金額,仕入数,売上数,有償支給数,入庫数,出庫数,移動積送増減数,出荷積送増減数,棚卸調整数,当月末移動積送数,当月末出荷積送数,当月末評価単価,当月末在庫数,当月末原価調整額,当月末在庫金額
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000010,ｺｸﾖ  ﾘｱｸﾄ,CE22       3        W39 A011,CE22,,3,,W39,A011,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,59700,1,0,0,59700,0,2,0,3,0,0,0,0,0,0,59700,2,0,119400
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000011,ｺｸﾖ  ﾘｱｸﾄ,CE22       5        W39 A011,CE22,,5,,W39,A011,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,31100,0,0,0,0,0,4,0,14,0,0,0,0,0,0,31100,10,0,311000
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000072,ｺｸﾖ ﾘｱｸﾄ,CE22       3        W39 A013,CE22,,3,,W39,A013,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,59700,1,0,0,59700,0,1,0,0,0,0,0,0,0,0,59700,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000073,ｺｸﾖ ﾘｱｸﾄ,CE22       5        W39 A013,CE22,,5,,W39,A013,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,31100,2,0,0,62200,0,2,0,0,0,0,0,0,0,0,31100,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000161,ｺｸﾖ ﾘｱｸﾄ,CE22       1        W39 A011,CE22,,1,,W39,A011,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,13800,0,0,0,0,0,1,0,2,0,0,0,0,0,0,13800,1,0,13800
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000217,ｺｸﾖ ﾘｱｸﾄ,CE22       3        W35 A016,CE22,,3,,W35,A016,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,59700,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59700,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000250,ｺｸﾖ ﾘｱｸﾄ,CE22       5        W35 A016,CE22,,5,,W35,A016,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,31100,0,0,0,0,0,2,0,2,0,0,0,0,0,0,31100,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000326,ｺｸﾖ ﾘｱｸﾄ,CE22       5        W35 C007,CE22,,5,,W35,C007,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000327,ｺｸﾖ ﾘｱｸﾄ,CE22       3        W35 C007,CE22,,3,,W35,C007,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,43700,1,0,0,43700,0,1,0,0,0,0,0,0,0,0,43700,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000328,ｺｸﾖ ﾘｱｸﾄ,CE22       1        W35 C007,CE22,,1,,W35,C007,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000331,ｺｸﾖ ﾘｱｸﾄ,CE22       5        W35 G025,CE22,,5,,W35,G025,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE22    0000358,ｺｸﾖ ﾘｱｸﾄ,CE22       3        W35 G022,CE22,,3,,W35,G022,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE72    0000001,ｺｸﾖ ｱﾅﾍﾞﾙ2,CE72    S  0        W77 LNB6,CE72,S,0,,W77,LNB6,,,3,D,ﾋﾟｰｽ,,,,2020/04/10,,0,39684,1,0,0,39684,0,0,0,0,0,0,0,0,0,0,39684,1,0,39684
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE72    0000002,ｺｸﾖ ｱﾅﾍﾞﾙ2,CE72    S  1        W77 LNB6,CE72,S,1,,W77,LNB6,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,12721,1,0,0,12721,0,0,0,0,0,0,0,0,0,0,12721,1,0,12721
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE72    0000021,ｺｸﾖ ｱﾅﾍﾞﾙ2,CE72    S  0        W79 LNB6,CE72,S,0,,W79,LNB6,,,3,D,ﾋﾟｰｽ,,,,2020/04/10,,0,39684,1,0,0,39684,0,0,0,0,0,0,0,0,0,0,39684,1,0,39684
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE72    0000047,ｺｸﾖ ｱﾅﾍﾞﾙ2,CE72    S  0        W79 HGB6,CE72,S,0,,W79,HGB6,,,4,E,ﾋﾟｰｽ,,,,2020/04/10,,0,34524,1,0,0,34524,0,0,0,0,0,0,0,0,0,0,34524,1,0,34524
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CE72    0000049,ｺｸﾖ ｱﾅﾍﾞﾙ2,CE72    S  1        W79 HGB6,CE72,S,1,,W79,HGB6,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,11368,10,0,0,113680,0,0,0,0,0,0,0,0,0,0,11368,10,0,113680
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000073,ｱﾆﾀ 3Pｿﾌｧ,CH1069  I  03           SP/197,CH1069,I,03,,,SP/197,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,62200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62200,1,0,62200
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000073,ｱﾆﾀ 3Pｿﾌｧ,CH1069  I  03           SP/197,CH1069,I,03,,,SP/197,,,1,B,ﾋﾟｰｽ,,,,2020/04/10,,0,62200,2,0,0,124400,0,0,0,0,0,0,0,0,0,0,62200,2,0,124400
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000074,ｱﾆﾀ ﾍｯﾄﾞﾚｽﾄ,CH1069  I  59           SP/197,CH1069,I,59,,,SP/197,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,3100,1,0,0,3100,0,0,0,0,0,0,0,0,0,0,3100,1,0,3100
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000083,ｱﾆﾀ 3Pｿﾌｧ,CH1069  I  03           SP/178,CH1069,I,03,,,SP/178,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,63800,0,0,0,0,0,1,0,1,0,0,0,0,0,0,63800,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000083,ｱﾆﾀ 3Pｿﾌｧ,CH1069  I  03           SP/178,CH1069,I,03,,,SP/178,,,1,B,ﾋﾟｰｽ,,,,2020/04/10,,0,63800,1,0,0,63800,0,0,0,0,0,0,0,0,0,0,63800,1,0,63800
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000084,ｱﾆﾀ 3Pｿﾌｧﾇｰﾄﾞ,CH1069  I  03    B      3002,CH1069,I,03,B,,3002,,,4,E,ﾋﾟｰｽ,,,,2020/04/10,,0,48400,1,0,0,48400,0,0,0,0,0,0,0,0,0,0,48400,1,0,48400
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000086,ｱﾆﾀ ﾍｯﾄﾞﾚｽﾄ,CH1069  I  59           SP/178,CH1069,I,59,,,SP/178,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1069  0000086,ｱﾆﾀ ﾍｯﾄﾞﾚｽﾄ,CH1069  I  59           SP/178,CH1069,I,59,,,SP/178,,,1,B,ﾋﾟｰｽ,,,,2020/04/10,,0,3500,1,0,0,3500,0,0,0,0,0,0,0,0,0,0,3500,1,0,3500
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000065,ﾉﾄｽ 3Pｿﾌｧ,CH1070  I  03           SP/183,CH1070,I,03,,,SP/183,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,69000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69000,1,0,69000
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000075,ﾉﾄｽ 3.5Pｿﾌｧ,CH1070  I  03L          SN/02,CH1070,I,03L,,,SN/02,,,1,B,ﾋﾟｰｽ,,,,2020/04/10,,0,70300,1,0,0,70300,0,0,0,0,0,0,0,0,0,0,70300,1,0,70300
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000077,ﾉﾄｽ/ｱﾆﾀ ｽﾂｰﾙ,CH1070  I  17           SP/183,CH1070,I,17,,,SP/183,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,27700,1,0,0,27700,0,1,0,2,0,0,0,0,0,0,27700,2,0,55400
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000079,ﾉﾄｽ 3.5Pｿﾌｧ,CH1070  I  03L          SP/183,CH1070,I,03L,,,SP/183,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,72800,2,0,0,145600,0,1,0,4,0,0,1,0,0,1,72800,5,0,364000
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000086,ﾉﾄｽ/ｱﾆﾀ ｽﾂｰﾙ ｶﾊﾞｰ,CH1070  I  17    C      SN/02,CH1070,I,17,C,,SN/02,,,1,B,ﾋﾟｰｽ,,,,2020/04/10,,0,1800,1,0,0,1800,0,0,0,0,0,0,0,0,0,0,1800,1,0,1800
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000087,ﾉﾄｽ/ｱﾆﾀ ｽﾂｰﾙB,CH1070  I  17    B      3002,CH1070,I,17,B,,3002,,,1,B,ﾋﾟｰｽ,,,,2020/04/10,,0,24500,1,0,0,24500,0,0,0,0,0,0,0,0,0,0,24500,1,0,24500
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000087,ﾉﾄｽ/ｱﾆﾀ ｽﾂｰﾙB,CH1070  I  17    B      3002,CH1070,I,17,B,,3002,,,3,D,ﾋﾟｰｽ,,,,2020/04/10,,0,24500,1,0,0,24500,0,0,0,0,0,0,0,0,0,0,24500,1,0,24500
100,日本フクラ,10,社内品,,,,,202004,,,1,製品,1,製品,0011,ソファ,CH1070  0000107,ﾉﾄｽ 3.5Pｿﾌｧ,CH1070  I  03L          SP/180,CH1070,I,03L,,,SP/180,,,0,A,ﾋﾟｰｽ,,,,2020/04/10,,0,70070,1,0,0,70070,0,1,0,0,0,0,0,0,0,0,70070,0,0,0
