50,2019-01-09,H207449,Vessel,Nanno Factory,Hukla Japan Inc.,2019-02-28,,
51,2019-01-15,H207450,Vessel,Nanno Factory,Hukla Japan Inc.,2019-03-02,,
52,2019-01-15,H207451,,,,2019-01-15,,
53,2019-01-16,H207452,VESSEL,HAKATA,the address listed above ,2019-03-02,,
54,2019-01-18,H207453,,,,2019-01-18,* クレーム分至急,
55,2019-01-18,H207454,,,,2019-01-18,,
56,2019-01-21,H207455,Vessel,Nanno Factory,Hukla Japan Inc.,2019-03-07,,
57,2019-01-31,H207456,,,,2019-01-31,,
58,2019-04-02,H207496, Vessel, Nagoya Port, The address listed above,2019-05-18,,2019-05-31
59,2019-04-09,H207497, DHL(Courier)," 240 Yoshida, Nanno-cho ", Hukla Japan Inc. / Nanno Factory,2019-04-09, For Hukla Japan/Nanno Fac.,
60,2019-04-09,H207498, Vessel, HAKATA Port, The address listed above,2019-05-25, To NIC Hakata 直送コンテナ,
61,2019-04-09,H207499, Vessel, Nagoya Port, The address listed above,2019-05-25, To Hukla Japan/Nanno ,2019-06-10
62,2019-04-10,H207500,Vessel, NAGOYA Port, The address listed above,2019-05-25, To Fujiei NAGOYA ,
63,2019-04-15,H207501,Vessel, Nagoya Port, The address listed above,2019-04-18, To Hukla Japan/Nanno ,
64,2019-04-15,H207502,DHL(Courier)," 240 Yoshida, Nanno-cho ", Hukla Japan Inc. / Nanno Factory,2019-04-15, For Hukla Japan/Nanno Fac.,
65,2019-04-15,H207503,DHL(Courier)," 240 Yoshida, Nanno-cho ", Hukla Japan Inc. / Nanno Factory,2019-04-15, For Hukla Japan/Nanno Fac.,
66,2019-04-16,H207504,  Vessel, HAKATA Port, The address listed above,2019-05-18, for f-grip,
67,2019-04-16,H207505,Vessel, Nagoya Port, The address listed above,2019-06-01, To Hukla Japan/Nanno ,2019-06-12
68,2019-04-23,H207506,Vessel, Nagoya Port, The address listed above,2019-06-01, To Hukla Japan/Nanno ,2019-06-14
69,2019-04-23,H207507,DHL(Courier)," 240 Yoshida, Nanno-cho ", Hukla Japan Inc. / Nanno Factory,2019-04-23, For Hukla Japan/Nanno Fac.,
